"","country_id","party","party_id","cee","ches_id","family","cmp_id","parlgov_id","manichean","indivisble","generalwill","peoplecentrism","antielitism","complex","emotional","lroverall","lrecon","immigration","eu","nativism","laworder","lifestyle","intradem","personalised","nr_experts","mean_expert_response","populism"
"69","DK","A",806,0,NA,7,NA,2567,6.44444465637207,2,3,3.66666674613953,4.59999990463257,3.5,7.22222232818604,1.90909087657928,2.36363625526428,8.18181800842285,6.11111116409302,1.10000002384186,1.63636362552643,9.18181800842285,7.27272748947144,6.45454549789429,11,9.75,2.70771384239197
"70","DK","B",807,0,202,3,13410,211,5.5,2.33333325386047,2.88888883590698,2.20000004768372,2.18181824684143,6.75,4.33333349227905,4.81818199157715,5.63636350631714,8.09090900421143,8.90909099578857,1.70000004768372,2.63636374473572,8.3636360168457,5.90909099578857,5.63636350631714,11,10.25,1.47382175922394
"71","DK","F",808,0,206,6,13230,1644,5.88888883590698,2.875,4,3.40000009536743,4.72727251052856,5.625,5.55555534362793,2.63636374473572,2.36363625526428,6,6.09090900421143,3.20000004768372,3.54545450210571,7.54545450210571,6.72727251052856,4.81818199157715,11,10.125,3.14349603652954
"72","DK","C",809,0,203,2,13620,590,5.59999990463257,4.55555534362793,5.44444465637207,4.19999980926514,3.18181824684143,4.875,5.33333349227905,7.27272748947144,6.90909099578857,4,6.72727251052856,6.5,7.54545450210571,4.90909099578857,4.72727251052856,6,11,10.25,3.87410068511963
"73","DK","D",810,0,NA,1,NA,NA,8,7.83333349227905,7.85714292526245,7.85714292526245,7.625,1.5,8.625,9.19999980926514,8.625,1.29999995231628,2.125,9.44444465637207,9.10000038146973,2.625,2.75,8.19999980926514,11,7.8125,8.13855743408203
"74","ES","Ref",901,1,2203,3,83430,113,5.90000009536743,4.30000019073486,4,2.29999995231628,0.899999976158142,7.40000009536743,5.69999980926514,7.30000019073486,8.19999980926514,5.19999980926514,9.19999980926514,4.69999980926514,3.70000004768372,7,5.69999980926514,6.30000019073486,10,10,2.10396718978882
"75","ES","K",902,1,2202,3,83411,1137,5.09999990463257,4.69999980926514,5.80000019073486,4.90000009536743,4.40000009536743,5.5,6.30000019073486,3.70000004768372,3.40000009536743,4.40000009536743,6.40000009536743,3.40000009536743,5.09999990463257,3.90000009536743,4.90000009536743,7.09999990463257,10,10,4.41086721420288
"76","ES","SDE",903,1,2204,5,83410,1448,4.80000019073486,3.79999995231628,3.90000009536743,4,2.59999990463257,7.59999990463257,4.19999980926514,3.40000009536743,3.20000004768372,6.30000019073486,8.89999961853027,2.20000004768372,2.29999995231628,7.80000019073486,7,6.30000019073486,10,10,2.54526257514954
"77","ES","IRL",904,1,2201,2,83611,1597,5.80000019073486,5.09999990463257,5.19999980926514,3.59999990463257,2.79999995231628,6.40000009536743,5.90000009536743,7.19999980926514,6.90000009536743,3,8,7.19999980926514,6.5,2.59999990463257,5.69999980926514,5.5,10,10,3.59124684333801
"78","ES","EVA",905,1,2208,2,83440,2409,3.79999995231628,4.09999990463257,4.90000009536743,7.69999980926514,7.59999990463257,3.44444441795349,5.90000009536743,6.09999990463257,6.19999980926514,4.22222232818604,7.22222232818604,6,4.19999980926514,5.55555534362793,7.30000019073486,3.88888883590698,10,9.6875,4.97782182693481
"79","ES","EKRE",906,1,2209,1,83720,417,9,6.69999980926514,8.39999961853027,8.89999961853027,8.10000038146973,2.11111116409302,9.19999980926514,8.80000019073486,5,0.400000005960464,2.29999995231628,9.69999980926514,8.80000019073486,1.29999995231628,3.29999995231628,9.10000038146973,10,9.9375,9.00698661804199
"80","ES","Green",907,1,2207,7,83110,219,4.80000019073486,2.55555558204651,3.55555558204651,6.30000019073486,7,3.57142853736877,7,3.22222232818604,3.40000009536743,6.59999990463257,6.85714292526245,1.66666662693024,2,7.69999980926514,7,4.25,10,8.6875,3.86227965354919
"81","FI","KESK",1001,0,1403,11,14810,94,3.45454549789429,5.09999990463257,5.19999980926514,4.30000019073486,3.36363625526428,6.18181800842285,4.72727251052856,6.40000009536743,6.27272748947144,5.09090900421143,5.54545450210571,5.45454549789429,6.36363649368286,2.45454549789429,5.27272748947144,6.27272748947144,11,10.75,3.26331472396851
"82","FI","PS",1002,0,1405,1,14820,200,7.45454549789429,8.10000038146973,8.18181800842285,8.5,7.90909099578857,2.18181824684143,8.27272701263428,8.30000019073486,6.36363649368286,0.363636374473572,1.36363637447357,9.3636360168457,8.72727298736572,0.818181812763214,4.90909099578857,7.72727251052856,11,10.8125,8.42884063720703
"83","FI","KOK",1003,0,1402,3,14620,1118,3.54545450210571,4.09999990463257,4.69999980926514,3.09999990463257,2.27272725105286,7,5,8.10000038146973,8.18181800842285,6.09090900421143,8.81818199157715,4.36363649368286,6.45454549789429,4.81818199157715,5.18181800842285,6.09090900421143,11,10.75,2.35697865486145
"84","FI","SDP",1004,0,1401,5,14320,395,4.72727251052856,4.5,4.80000019073486,4.90000009536743,4,6.45454549789429,4.54545450210571,3.59999990463257,3.27272725105286,6.09090900421143,7.72727251052856,3.63636374473572,4.63636350631714,5.36363649368286,5.63636350631714,5.63636350631714,11,10.75,3.64399456977844
"85","FI","VIHR",1005,0,1408,7,14110,1062,5,2.29999995231628,3.59999990463257,4.90000009536743,3.81818175315857,6.27272748947144,5.09090900421143,4,3.54545450210571,8.6363639831543,8.45454502105713,1,1.81818187236786,8.81818199157715,7.36363649368286,4.90909099578857,11,10.75,2.82413673400879
"86","FI","VAS",1006,0,1404,6,14223,1292,5.18181800842285,3.40000009536743,4.09999990463257,5.40000009536743,5.18181800842285,5.09090900421143,4.90909099578857,1.89999997615814,2,7.90909099578857,5.63636350631714,1.5,2.20000004768372,8.69999980926514,6.72727251052856,5.63636350631714,11,10.5625,3.68804550170898
"87","FI","KD",1007,0,1409,10,14520,1463,5.18181800842285,5,4.88888883590698,3.55555558204651,3.20000004768372,5.5,5.45454549789429,7.5,6.72727251052856,4.90909099578857,7.09999990463257,5.40000009536743,8.30000019073486,0.909090936183929,5.75,5.54545450210571,11,10.0625,3.31877303123474
"88","FI","SFPRKP",1008,0,1406,8,14901,585,3.45454549789429,3.09999990463257,4.19999980926514,3.5,2.27272725105286,5.90909099578857,4.54545450210571,7.40000009536743,7.27272748947144,7.54545450210571,8.6363639831543,1.79999995231628,4.40000009536743,8.10000038146973,5.75,5,11,10.375,2.07656955718994
"89","FI","SIN",1009,0,NA,2,NA,2645,5.09999990463257,7,7.27272748947144,7.80000019073486,7,3,6.27272748947144,6.90000009536743,5.81818199157715,2.45454549789429,2.45454549789429,8.18181800842285,7.90909099578857,1.27272725105286,5,6.80000019073486,11,10.5625,6.7906928062439
"90","FR","PS",1101,0,602,5,31320,1539,3,3.79999995231628,4.69999980926514,2.79999995231628,1.20000004768372,5.88888883590698,1.89999997615814,4.30000019073486,4,6,7.19999980926514,1.89999997615814,4,7.40000009536743,6.09999990463257,3.40000009536743,10,9.9375,1.85865807533264
"91","FR","EELV",1102,0,605,7,31110,873,4.19999980926514,4,4.80000019073486,3.29999995231628,3.59999990463257,6,4.09999990463257,3.59999990463257,2.90000009536743,8.30000019073486,8,0.400000005960464,1.70000004768372,9.5,7.90000009536743,1.89999997615814,10,9.9375,2.93826198577881
"92","FR","PCF",1103,0,601,6,31220,686,6.69999980926514,4.80000019073486,6.19999980926514,6.5,5.80000019073486,3.11111116409302,4.80000019073486,2.5,1.5,7.5,3.40000009536743,1.70000004768372,3.5,6.80000019073486,4.69999980926514,2.29999995231628,10,9.9375,5.8267502784729
"93","FR","Rad",1104,0,622,3,NA,401,2.28571438789368,4.125,4.14285707473755,2.125,1.75,5.5,1.57142853736877,4.22222232818604,3.85714292526245,6.33333349227905,7.25,1.25,2.55555558204651,7.375,4.5,1.5,10,7.5,1.32360672950745
"94","FR","MoDem",1105,0,613,3,31624,509,3.59999990463257,4.88888883590698,4.30000019073486,2,0.899999976158142,6,1.70000004768372,5.19999980926514,5.59999990463257,5.40000009536743,8.39999961853027,2.20000004768372,3.70000004768372,5.59999990463257,3.40000009536743,7.40000009536743,10,9.875,1.6095507144928
